Dataset,DatasetSize,Epoch,Epsilon,BatchSize,SampleRate,Steps,Sigma,Sigma_over_q,CumulativeNoise,TotalNoiseVariance,CumulativeEffectiveNoise
sun397,8534,60,4.0,1024,0.11999062573236466,500.0390625,3.046875,25.392608642578125,68.13285747325818,4642.0862674713135,567.8181696062356
sun397,8534,60,4.0,2048,0.23998125146472932,250.01953125,4.23828125,17.660884857177734,67.01572822043434,4491.107828915119,279.2540159341732
sun397,8534,60,4.0,4096,0.47996250292945863,125.009765625,5.91796875,12.33006477355957,66.16748658460651,4378.136280924082,137.85969983228318
sun397,8534,60,4.0,8192,0.9599250058589173,62.5048828125,8.203125,8.545589447021484,64.8539305359042,4206.032305955887,67.56145546794512
sun397,8534,60,4.0,8534,1.0,60.0,8.3984375,8.3984375,65.05401714332771,4232.025146484375,65.05401714332771
sun397,8534,60,8.0,1,0.00011717834544176236,512040.0,0.4268646240234375,3642.8627014160156,305.45139227794834,93300.55304453708,2606722.1817000112
sun397,8534,60,8.0,2,0.00023435669088352472,256020.0,0.453338623046875,1934.3959045410156,229.3821757406802,52616.1825475283,978773.7438854824
sun397,8534,60,8.0,4,0.00046871338176704945,128010.0,0.485076904296875,1034.9115753173828,173.5531681951024,30120.702190557495,370275.68434425094
sun397,8534,60,8.0,8,0.0009374267635340989,64005.0,0.524444580078125,559.4512557983398,132.68033288803733,17604.070735280402,141536.74510831383
sun397,8534,60,8.0,16,0.0018748535270681978,32002.5,0.57464599609375,306.5018081665039,102.79981620364195,10567.802211502567,54830.85196761753
sun397,8534,60,8.0,32,0.0037497070541363956,16001.25,0.64117431640625,170.9931755065918,81.10601669996115,6578.185944934376,21629.960828670886
sun397,8534,60,8.0,64,0.007499414108272791,8000.625,0.73333740234375,97.78595924377441,65.59425340874976,4302.60608025128,8746.583727972977
sun397,8534,60,8.0,128,0.014998828216545582,4000.3125,0.8660888671875,57.7437686920166,54.77840918479051,3000.674112816341,3652.179249867205
sun397,8534,60,8.0,256,0.029997656433091165,2000.15625,1.0626220703125,35.423502922058105,47.523759960313505,2258.5077607654966,1584.2490918020135
sun397,8534,60,8.0,512,0.05999531286618233,1000.078125,1.356201171875,22.60511875152588,42.88852191987474,1839.425312471576,714.8645430941622
sun397,8534,60,8.0,1024,0.11999062573236466,500.0390625,1.79443359375,14.954781532287598,40.12632230997177,1610.121742123738,334.41214315751864
sun397,8534,60,8.0,2048,0.23998125146472932,250.01953125,2.42919921875,10.122454166412354,38.410512430490876,1475.3674651728943,160.05630521572712
sun397,8534,60,8.0,4096,0.47996250292945863,125.009765625,3.3349609375,6.948378086090088,37.28745324858601,1390.3541697654873,77.6882631893147
sun397,8534,60,8.0,8192,0.9599250058589173,62.5048828125,4.5556640625,4.745854139328003,36.01709356547536,1297.231028904207,37.52073687594809
sun397,8534,60,8.0,8534,1.0,60.0,4.658203125,4.658203125,36.082286252752695,1301.931381225586,36.082286252752695
imagenet397,8471,60,0.5,1,0.00011804981702278361,508260.0,0.87890625,7445.21484375,626.5929711749717,392618.7515258789,5307869.058823185
imagenet397,8471,60,0.5,2,0.00023609963404556722,254130.0,1.083984375,4591.2158203125,546.4507047193675,298608.37268829346,2314491.959838881
imagenet397,8471,60,0.5,4,0.00047219926809113444,127065.0,1.40625,2978.0859375,501.27437693997734,251276.0009765625,1061573.811764637
imagenet397,8471,60,0.5,8,0.0009443985361822689,63532.5,1.875,1985.390625,472.606014892426,223356.4453125,500430.6940192176
imagenet397,8471,60,0.5,16,0.0018887970723645378,31766.25,2.5390625,1344.27490234375,452.5393680708129,204791.87965393066,239591.311682991
imagenet397,8471,60,0.5,32,0.0037775941447290755,15883.125,3.515625,930.65185546875,443.06813896164937,196309.37576293945,117288.44391075413
imagenet397,8471,60,0.5,64,0.007555188289458151,7941.5625,4.921875,651.456298828125,438.61507982248014,192383.18824768066,58054.81783087859
imagenet397,8471,60,0.5,128,0.015110376578916302,3970.78125,6.953125,460.1556396484375,438.14515963985326,191971.18091583252,28996.309744603102
imagenet397,8471,60,0.5,256,0.030220753157832604,1985.390625,9.84375,325.7281494140625,438.61507982248014,192383.18824768066,14513.704457719647
imagenet397,8471,60,0.5,512,0.06044150631566521,992.6953125,13.75,227.49267578125,433.22218031805716,187681.45751953125,7167.627127879418
imagenet397,8471,60,0.5,1024,0.12088301263133042,496.34765625,19.375,160.2789306640625,431.6529356983138,186324.25689697266,3570.8320491215004
imagenet397,8471,60,0.5,2048,0.24176602526266083,248.173828125,27.5,113.746337890625,433.22218031805716,187681.45751953125,1791.9067819698546
imagenet397,8471,60,0.5,4096,0.48353205052532167,124.0869140625,38.75,80.13946533203125,431.6529356983138,186324.25689697266,892.7080122803751
imagenet397,8471,60,0.5,8192,0.9670641010506433,62.04345703125,55.0,56.8731689453125,433.22218031805716,187681.45751953125,447.97669549246365
imagenet397,8471,60,0.5,8471,1.0,60.0,56.25,56.25,435.71062644833444,189843.75,435.71062644833444
imagenet397,8471,60,1.0,1,0.00011804981702278361,508260.0,0.65673828125,5563.22998046875,468.20419235018716,219215.16573429108,3966157.7133984356
imagenet397,8471,60,1.0,2,0.00023609963404556722,254130.0,0.7568359375,3205.57861328125,381.5308974391981,145565.8257007599,1615974.1161037236
imagenet397,8471,60,1.0,4,0.00047219926809113444,127065.0,0.9033203125,1913.006591796875,321.9991657426938,103683.46273899078,681913.7332515898
imagenet397,8471,60,1.0,8,0.0009443985361822689,63532.5,1.123046875,1189.166259765625,283.071311003276,80129.3671131134,299737.1344385939
imagenet397,8471,60,1.0,16,0.0018887970723645378,31766.25,1.455078125,770.3729248046875,259.33986862519663,67257.16745853424,137304.25169525255
imagenet397,8471,60,1.0,32,0.0037775941447290755,15883.125,1.943359375,514.4436645507812,244.9182212593562,59984.935104846954,64834.445384000195
imagenet397,8471,60,1.0,64,0.007555188289458151,7941.5625,2.65625,351.57958984375,236.71290022165596,56032.997131347656,31331.171527775747
imagenet397,8471,60,1.0,128,0.015110376578916302,3970.78125,3.7109375,245.58868408203125,233.84151778531495,54681.85544013977,15475.558571557836
imagenet397,8471,60,1.0,256,0.030220753157832604,1985.390625,5.15625,170.6195068359375,229.7507560974896,52785.409927368164,7602.416620710292
imagenet397,8471,60,1.0,512,0.06044150631566521,992.6953125,7.265625,120.20919799804688,228.91853846351884,52403.69725227356,3787.439334618102
imagenet397,8471,60,1.0,1024,0.12088301263133042,496.34765625,10.3125,85.30975341796875,229.7507560974896,52785.409927368164,1900.604155177573
imagenet397,8471,60,1.0,2048,0.24176602526266083,248.173828125,14.53125,60.10459899902344,228.91853846351884,52403.69725227356,946.8598336545255
imagenet397,8471,60,1.0,4096,0.48353205052532167,124.0869140625,20.46875,42.33173370361328,228.01022006644803,51988.66045475006,471.5514097126175
imagenet397,8471,60,1.0,8192,0.9670641010506433,62.04345703125,28.75,29.729156494140625,226.4570488026208,51282.79495239258,234.16963628015145
imagenet397,8471,60,1.0,8471,1.0,60.0,29.375,29.375,227.53777158968575,51773.4375,227.53777158968575
imagenet397,8471,60,2.0,1,0.00011804981702278361,508260.0,0.557861328125,4725.643310546875,397.71248309300285,158175.2192080021,3369022.4442808274
imagenet397,8471,60,2.0,2,0.00023609963404556722,254130.0,0.6072998046875,2572.2183227539062,306.14777657419523,93726.46110132337,1296688.907680004
imagenet397,8471,60,2.0,4,0.00047219926809113444,127065.0,0.6787109375,1437.340087890625,241.93450831478071,58532.30631351471,512356.8049836269
imagenet397,8471,60,2.0,8,0.0009443985361822689,63532.5,0.78369140625,829.8312377929688,197.53454528706868,39019.89658176899,209164.39164084487
imagenet397,8471,60,2.0,16,0.0018887970723645378,31766.25,0.9423828125,498.93280029296875,167.96172699551323,28211.141735315323,88925.23683618705
imagenet397,8471,60,2.0,32,0.0037775941447290755,15883.125,1.1767578125,311.5098571777344,148.30475206910765,21994.299486279488,39259.048586794095
imagenet397,8471,60,2.0,64,0.007555188289458151,7941.5625,1.533203125,202.93380737304688,136.63207843676466,18668.32485795021,18084.53650684115
imagenet397,8471,60,2.0,128,0.015110376578916302,3970.78125,2.060546875,136.36634826660156,129.84357961237225,16859.35516655445,8593.007522628168
imagenet397,8471,60,2.0,256,0.030220753157832604,1985.390625,2.83203125,93.71147155761719,126.18886225051513,15923.628956079483,4175.569734859819
imagenet397,8471,60,2.0,512,0.06044150631566521,992.6953125,3.92578125,64.95174407958984,123.68985546012712,15299.180343747139,2046.4389953178454
imagenet397,8471,60,2.0,1024,0.12088301263133042,496.34765625,5.5078125,45.56316375732422,122.70779018843194,15057.201772928238,1015.095401060749
imagenet397,8471,60,2.0,2048,0.24176602526266083,248.173828125,7.734375,31.99115753173828,121.84373821445358,14845.896542072296,503.97378242902164
imagenet397,8471,60,2.0,4096,0.48353205052532167,124.0869140625,10.8984375,22.53922462463379,121.40238816515075,14738.539852201939,251.07412845385548
imagenet397,8471,60,2.0,8192,0.9670641010506433,62.04345703125,15.3125,15.834007263183594,120.61299338400455,14547.494173049927,124.72078454051545
imagenet397,8471,60,2.0,8471,1.0,60.0,15.546875,15.546875,120.42557592113687,14502.3193359375,120.42557592113687
imagenet397,8471,60,4.0,1,0.00011804981702278361,508260.0,0.48858642578125,4138.815612792969,348.3247732121978,121330.14763332903,2950659.1538805277
imagenet397,8471,60,4.0,2,0.00023609963404556722,254130.0,0.52276611328125,2214.1758728027344,263.5332368198977,69449.76690877229,1116195.0245506768
imagenet397,8471,60,4.0,4,0.00047219926809113444,127065.0,0.56610107421875,1198.8605499267578,201.7933960988841,40720.57470912114,427347.96458841185
imagenet397,8471,60,4.0,8,0.0009443985361822689,63532.5,0.62347412109375,660.1811599731445,157.15073053796002,24696.35210861452,166402.9797983824
imagenet397,8471,60,4.0,16,0.0018887970723645378,31766.25,0.7037353515625,372.5838851928711,125.42737773693443,15732.027085963637,66405.95730059822
imagenet397,8471,60,4.0,32,0.0037775941447290755,15883.125,0.8203125,217.152099609375,103.3825657577182,10687.954902648926,27367.303579175965
imagenet397,8471,60,4.0,64,0.007555188289458151,7941.5625,0.99365234375,131.51920318603516,88.54977057924079,7841.061869636178,11720.3922902617
imagenet397,8471,60,4.0,128,0.015110376578916302,3970.78125,1.2548828125,83.0477523803711,79.07535535634993,6252.911824733019,5233.18230643469
imagenet397,8471,60,4.0,256,0.030220753157832604,1985.390625,1.6455078125,54.4495964050293,73.3200803076269,5375.834176316857,2426.150001116826
imagenet397,8471,60,4.0,512,0.06044150631566521,992.6953125,2.2216796875,36.757516860961914,69.99861223178836,4899.805714376271,1158.1215707333579
imagenet397,8471,60,4.0,1024,0.12088301263133042,496.34765625,3.056640625,25.285940170288086,68.09847221450212,4637.401917949319,563.3419512978979
imagenet397,8471,60,4.0,2048,0.24176602526266083,248.173828125,4.2578125,17.61129379272461,67.07559325947192,4499.135211110115,277.44011254930984
imagenet397,8471,60,4.0,4096,0.48353205052532167,124.0869140625,5.9375,12.279434204101562,66.14036917958035,4374.548435211182,136.78590510747685
imagenet397,8471,60,4.0,8192,0.9670641010506433,62.04345703125,8.26171875,8.543093204498291,65.07563290999225,4234.837998636067,67.29195390387504
imagenet397,8471,60,4.0,8471,1.0,60.0,8.3984375,8.3984375,65.05401714332771,4232.025146484375,65.05401714332771
imagenet397,8471,60,8.0,1,0.00011804981702278361,508260.0,0.427093505859375,3617.9090881347656,304.4850219303378,92711.1285799183,2579292.6207718914
imagenet397,8471,60,8.0,2,0.00023609963404556722,254130.0,0.453643798828125,1921.4083099365234,228.68777380780966,52298.09788917191,968607.0659629778
imagenet397,8471,60,8.0,4,0.00047219926809113444,127065.0,0.48553466796875,1028.2410430908203,173.0745515866979,29954.800406936556,366528.63162272953
imagenet397,8471,60,8.0,8,0.0009443985361822689,63532.5,0.52490234375,555.8059692382812,132.3050692732703,17504.631355404854,140094.5302267341
imagenet397,8471,60,8.0,16,0.0018887970723645378,31766.25,0.57525634765625,304.56228256225586,102.52845057854354,10512.083178036846,54282.40655317765
imagenet397,8471,60,8.0,32,0.0037775941447290755,15883.125,0.64208984375,169.9732208251953,80.92147260202347,6548.284728080034,21421.4310753669
imagenet397,8471,60,8.0,64,0.007555188289458151,7941.5625,0.73455810546875,97.22565174102783,65.46047229245472,4285.073432751233,8664.307199834126
imagenet397,8471,60,8.0,128,0.015110376578916302,3970.78125,0.86761474609375,57.41847276687622,54.67199301510283,2989.0268202434527,3618.175412741688
imagenet397,8471,60,8.0,256,0.030220753157832604,1985.390625,1.0650634765625,35.24278402328491,47.4568027213683,2252.1481245348696,1570.3381869246518
imagenet397,8471,60,8.0,512,0.06044150631566521,992.6953125,1.35986328125,22.498831748962402,42.84530441000672,1835.7201099861413,708.8722141741541
imagenet397,8471,60,8.0,1024,0.12088301263133042,496.34765625,1.79931640625,14.884774684906006,40.08672046492657,1606.945157633163,331.6158291585869
imagenet397,8471,60,8.0,2048,0.24176602526266083,248.173828125,2.437744140625,10.08307158946991,38.40308478760477,1474.7969212039607,158.84400939248047
imagenet397,8471,60,8.0,4096,0.48353205052532167,124.0869140625,3.3447265625,6.917279958724976,37.258349414483995,1388.1846010917798,77.05456003176121
imagenet397,8471,60,8.0,8192,0.9670641010506433,62.04345703125,4.5849609375,4.741113781929016,36.11466861848861,1304.269289423246,37.34464817715051
imagenet397,8471,60,8.0,8471,1.0,60.0,4.658203125,4.658203125,36.082286252752695,1301.931381225586,36.082286252752695
imagenet397-balanced,15086,60,0.5,1,6.628662335940607e-05,905160.0,0.7568359375,11417.626953125,720.0529313499235,518476.2239456177,10862718.522344947
imagenet397-balanced,15086,60,0.5,2,0.00013257324671881213,452580.0,0.908203125,6850.576171875001,610.985172684939,373302.8812408447,4608661.157562495
imagenet397-balanced,15086,60,0.5,4,0.00026514649343762427,226290.0,1.1328125,4272.40234375,538.878322816717,290389.8468017578,2032379.594503248
imagenet397-balanced,15086,60,0.5,8,0.0005302929868752485,113145.0,1.46484375,2762.3291015625,492.729977971725,242782.8311920166,929165.5559601805
imagenet397-balanced,15086,60,0.5,16,0.001060585973750497,56572.5,1.953125,1841.5527343750002,464.55027829027324,215806.9610595703,438012.8436429414
imagenet397-balanced,15086,60,0.5,32,0.002121171947500994,28286.25,2.6953125,1270.67138671875,453.311579733987,205491.38832092285,213708.07787084152
imagenet397-balanced,15086,60,0.5,64,0.004242343895001988,14143.125,3.75,883.9453125000001,445.9682671586623,198887.6953125,105123.08247430593
imagenet397-balanced,15086,60,0.5,128,0.008484687790003977,7071.5625,5.234375,616.920166015625,440.172113654741,193751.48963928223,51878.410207776746
imagenet397-balanced,15086,60,0.5,256,0.016969375580007953,3535.78125,7.34375,432.76489257812506,436.67726159285684,190687.03079223633,25733.25456402281
imagenet397-balanced,15086,60,0.5,512,0.033938751160015906,1767.890625,10.3125,303.856201171875,433.602380615118,188011.02447509766,12776.026394452483
imagenet397-balanced,15086,60,0.5,1024,0.06787750232003181,883.9453125,14.6875,216.38244628906253,436.67726159285684,190687.03079223633,6433.313641005702
imagenet397-balanced,15086,60,0.5,2048,0.13575500464006363,441.97265625,20.625,151.9281005859375,433.602380615118,188011.02447509766,3194.006598613121
imagenet397-balanced,15086,60,0.5,4096,0.27151000928012725,220.986328125,29.375,108.19122314453126,436.67726159285684,190687.03079223633,1608.3284102514256
imagenet397-balanced,15086,60,0.5,8192,0.5430200185602545,110.4931640625,41.25,75.96405029296875,433.602380615118,188011.02447509766,798.5016496532802
imagenet397-balanced,15086,60,0.5,15086,1.0,60.0,56.25,56.25,435.71062644833444,189843.75,435.71062644833444
imagenet397-balanced,15086,60,1.0,1,6.628662335940607e-05,905160.0,0.6005859375,9060.439453125,571.3968422970361,326494.3513870239,8620092.762893086
imagenet397-balanced,15086,60,1.0,2,0.00013257324671881213,452580.0,0.67138671875,5064.27001953125,451.6691464740813,204005.01787662506,3406940.3718539956
imagenet397-balanced,15086,60,1.0,4,0.00026514649343762427,226290.0,0.7763671875,2928.06884765625,369.31747124076725,136395.39456367493,1392880.8427845538
imagenet397-balanced,15086,60,1.0,8,0.0005302929868752485,113145.0,0.9326171875,1758.6828613281252,313.70475264199825,98410.6718301773,591568.7372946482
imagenet397-balanced,15086,60,1.0,16,0.001060585973750497,56572.5,1.171875,1104.931640625,278.7301669741639,77690.50598144531,262807.7061857648
imagenet397-balanced,15086,60,1.0,32,0.002121171947500994,28286.25,1.5234375,718.20556640625,256.21958854529703,65648.47755432129,120791.52227482348
imagenet397-balanced,15086,60,1.0,64,0.004242343895001988,14143.125,2.05078125,483.40759277343756,243.88889610239346,59481.79364204407,57489.185728136064
imagenet397-balanced,15086,60,1.0,128,0.008484687790003977,7071.5625,2.8125,331.4794921875,236.51038942642802,55937.164306640625,27874.966678805416
imagenet397-balanced,15086,60,1.0,256,0.016969375580007953,3535.78125,3.90625,230.19409179687503,232.27513914513662,53951.74026489258,13687.901363841918
imagenet397-balanced,15086,60,1.0,512,0.033938751160015906,1767.890625,5.46875,161.1358642578125,229.94065638680502,52872.70545959473,6775.16551220965
imagenet397-balanced,15086,60,1.0,1024,0.06787750232003181,883.9453125,7.734375,113.94607543945314,229.95238775368526,52878.100633621216,3387.755587550875
imagenet397-balanced,15086,60,1.0,2048,0.13575500464006363,441.97265625,10.859375,79.99244689941406,228.29822312689925,52120.078682899475,1681.6928682091807
imagenet397-balanced,15086,60,1.0,4096,0.27151000928012725,220.986328125,15.3125,56.39755249023438,227.6296363622339,51815.25135040283,838.3839585353176
imagenet397-balanced,15086,60,1.0,8192,0.5430200185602545,110.4931640625,21.5625,39.70848083496094,226.6557898669935,51372.84708023071,417.39858959148734
imagenet397-balanced,15086,60,1.0,15086,1.0,60.0,29.375,29.375,227.53777158968575,51773.4375,227.53777158968575
imagenet397-balanced,15086,60,2.0,1,6.628662335940607e-05,905160.0,0.526123046875,7937.092285156251,500.5529248577694,250553.23058366776,7551341.42440431
imagenet397-balanced,15086,60,2.0,2,0.00013257324671881213,452580.0,0.56488037109375,4260.892639160156,380.0179955106929,144413.676911965,2866475.740137157
imagenet397-balanced,15086,60,2.0,4,0.00026514649343762427,226290.0,0.61767578125,2329.564208984375,293.8280510185978,86334.92356538773,1108172.4944166418
imagenet397-balanced,15086,60,2.0,8,0.0005302929868752485,113145.0,0.693359375,1307.50244140625,233.2255229066165,54394.1445350647,439805.0298211521
imagenet397-balanced,15086,60,2.0,16,0.001060585973750497,56572.5,0.8056640625,759.6405029296875,191.6269897947377,36720.90321779251,180680.29800271333
imagenet397-balanced,15086,60,2.0,32,0.002121171947500994,28286.25,0.97412109375,459.2372131347657,163.83271767559856,26841.159380972385,77236.88683919
imagenet397-balanced,15086,60,2.0,64,0.004242343895001988,14143.125,1.22802734375,289.4690704345703,146.04299373750464,21328.556019812822,34425.071930062426
imagenet397-balanced,15086,60,2.0,128,0.008484687790003977,7071.5625,1.6064453125,189.3346405029297,135.09013562724795,18249.344743788242,15921.638953692676
imagenet397-balanced,15086,60,2.0,256,0.016969375580007953,3535.78125,2.16796875,127.75772094726564,128.91270222555082,16618.484795093536,7596.785256932265
imagenet397-balanced,15086,60,2.0,512,0.033938751160015906,1767.890625,2.98828125,88.04924011230469,125.64614438278988,15786.95359826088,3702.1440120288444
imagenet397-balanced,15086,60,2.0,1024,0.06787750232003181,883.9453125,4.16015625,61.289176940917976,123.68651159478524,15298.353150486946,1822.2018690614555
imagenet397-balanced,15086,60,2.0,2048,0.13575500464006363,441.97265625,5.8203125,42.87364959716797,122.36127786297838,14972.282320261002,901.3389833207481
imagenet397-balanced,15086,60,2.0,4096,0.27151000928012725,220.986328125,8.203125,30.212974548339847,121.94444805119673,14870.448410511017,449.134263501063
imagenet397-balanced,15086,60,2.0,8192,0.5430200185602545,110.4931640625,11.5234375,21.221017837524414,121.12945291804907,14672.344364225864,223.0662752345811
imagenet397-balanced,15086,60,2.0,15086,1.0,60.0,15.546875,15.546875,120.42557592113687,14502.3193359375,120.42557592113687
imagenet397-balanced,15086,60,4.0,1,6.628662335940607e-05,905160.0,0.464935302734375,7014.013977050782,442.33896810951956,195663.76270819455,6673125.672900213
imagenet397-balanced,15086,60,4.0,2,0.00013257324671881213,452580.0,0.4937744140625,3724.540405273438,332.182126815938,110344.96537595987,2505649.7825726205
imagenet397-balanced,15086,60,4.0,4,0.00026514649343762427,226290.0,0.5291748046875,1995.7827758789065,251.7281820485418,63367.07763746381,949392.8385960755
imagenet397-balanced,15086,60,4.0,8,0.0005302929868752485,113145.0,0.5743408203125,1083.0632019042969,193.19121219641386,37322.8444699198,364310.3283993875
imagenet397-balanced,15086,60,4.0,16,0.001060585973750497,56572.5,0.63507080078125,598.7923812866211,151.05142642532167,22816.533425124362,142422.61369077518
