Dataset,DatasetSize,Epoch,Epsilon,BatchSize,SampleRate,Steps,Sigma,Sigma_over_q,CumulativeNoise,TotalNoiseVariance,CumulativeEffectiveNoise
cifar100,5000,40,8.0,256,0.0512,781.25,1.1181640625,21.839141845703125,31.253635671841543,976.7897427082062,610.4225717156551
cifar100,5000,40,8.0,512,0.1024,390.625,1.436767578125,14.030933380126953,28.396612594743218,806.3676068559289,277.31066987053924
cifar100,5000,40,8.0,1024,0.2048,195.3125,1.904296875,9.298324584960938,26.613357886502623,708.2708179950714,129.9480365551886
cifar100,5000,40,8.0,2048,0.4096,97.65625,2.568359375,6.270408630371094,25.380829608895382,644.1865116357803,61.96491603734224
cifar100,5000,40,8.0,4096,0.8192,48.828125,3.4619140625,4.225969314575195,24.19085992503892,585.1977039128542,29.529858306932276
cifar100,5000,40,8.0,5000,1.0,40.0,3.8037109375,3.8037109375,24.056780246788747,578.7286758422852,24.056780246788747
sun397,8534,40,0.5,1,0.00011717834544176236,341360.0,0.791015625,6750.52734375,462.15895992162683,213590.90423583984,3944064.5639711632
sun397,8534,40,0.5,2,0.00023435669088352472,170680.0,0.95703125,4083.65234375,395.3824936490989,156327.3162841797,1687097.100400705
sun397,8534,40,0.5,4,0.00046871338176704945,85340.0,1.19140625,2541.865234375,348.0456364841881,121135.7650756836,742555.3654390153
sun397,8534,40,0.5,8,0.0009374267635340989,42670.0,1.5625,1666.796875,322.7612193053868,104174.8046875,344305.5306940214
sun397,8534,40,0.5,16,0.0018748535270681978,21335.0,2.109375,1125.087890625,308.1059732810845,94929.29077148438,164336.02349879846
sun397,8534,40,0.5,32,0.0037497070541363956,10667.5,2.890625,770.8935546875,298.5541278574828,89134.56726074219,79620.65397299244
sun397,8534,40,0.5,64,0.007499414108272791,5333.75,4.0625,541.708984375,296.6946409373407,88027.7099609375,39562.37602748852
sun397,8534,40,0.5,128,0.014998828216545582,2666.875,5.625,375.029296875,290.4850973748481,84381.591796875,19367.186101538704
sun397,8534,40,0.5,256,0.029997656433091165,1333.4375,7.96875,265.645751953125,290.98897476546875,84674.5834350586,9700.390275970743
sun397,8534,40,0.5,512,0.05999531286618233,666.71875,11.25,187.5146484375,290.4850973748481,84381.591796875,4841.796525384676
sun397,8534,40,0.5,1024,0.11999062573236466,333.359375,15.9375,132.8228759765625,290.98897476546875,84674.5834350586,2425.097568992686
sun397,8534,40,0.5,2048,0.23998125146472932,166.6796875,22.5,93.75732421875,290.4850973748481,84381.591796875,1210.449131346169
sun397,8534,40,0.5,4096,0.47996250292945863,83.33984375,31.875,66.41143798828125,290.98897476546875,84674.5834350586,606.2743922481715
sun397,8534,40,0.5,8192,0.9599250058589173,41.669921875,44.375,46.227569580078125,286.4505821335308,82053.93600463867,298.4093344638125
sun397,8534,40,0.5,8534,1.0,40.0,45.625,45.625,288.55783649036465,83265.625,288.55783649036465
sun397,8534,40,1.0,1,0.00011717834544176236,341360.0,0.621337890625,5302.49755859375,363.02301018535195,131785.70592403412,3098038.3689217935
sun397,8534,40,1.0,2,0.00023435669088352472,170680.0,0.6982421875,2979.3994140625,288.46783975418947,83213.69457244873,1230892.2722311264
sun397,8534,40,1.0,4,0.00046871338176704945,85340.0,0.81298828125,1734.510498046875,237.49835440416933,56405.468344688416,506702.7391212953
sun397,8534,40,1.0,8,0.0009374267635340989,42670.0,0.986328125,1052.16552734375,203.74301968652543,41511.21807098389,217342.86625060102
sun397,8534,40,1.0,16,0.0018748535270681978,21335.0,1.2451171875,664.1143798828125,181.86810922841795,33076.00915431976,97003.90275970743
sun397,8534,40,1.0,32,0.0037497070541363956,10667.5,1.630859375,434.9298095703125,168.44101132499875,28372.374296188354,44921.112207735605
sun397,8534,40,1.0,64,0.007499414108272791,5333.75,2.20703125,294.2938232421875,161.18506935538218,25980.626583099365,21493.021591856745
sun397,8534,40,1.0,128,0.014998828216545582,2666.875,3.046875,203.140869140625,157.34609441137607,24757.793426513672,10490.559138333465
sun397,8534,40,1.0,256,0.029997656433091165,1333.4375,4.2578125,141.93817138671875,155.47940318351024,24173.844814300537,5183.0516670627985
sun397,8534,40,1.0,512,0.05999531286618233,666.71875,5.9375,98.966064453125,153.31157917005874,23504.440307617188,2555.39261061969
sun397,8534,40,1.0,1024,0.11999062573236466,333.359375,8.359375,69.66690063476562,152.62657009757427,23294.869899749756,1271.9874504030263
sun397,8534,40,1.0,2048,0.23998125146472932,166.6796875,11.796875,49.15748596191406,152.3029503597294,23196.1886882782,634.6452042821927
sun397,8534,40,1.0,4096,0.47996250292945863,83.33984375,16.71875,34.83345031738281,152.62657009757427,23294.869899749756,317.9968626007566
sun397,8534,40,1.0,8192,0.9599250058589173,41.669921875,23.28125,24.253196716308594,150.28569273907073,22585.789442062378,156.5598268841833
sun397,8534,40,1.0,8534,1.0,40.0,23.90625,23.90625,151.19640062680065,22860.3515625,151.19640062680065
sun397,8534,40,2.0,1,0.00011717834544176236,341360.0,0.543212890625,4635.77880859375,317.37768081037643,100728.59227657318,2708501.1280357526
sun397,8534,40,2.0,2,0.00023435669088352472,170680.0,0.584716796875,2494.986572265625,241.56660007387543,58354.42227125168,1030764.6825152265
sun397,8534,40,2.0,4,0.00046871338176704945,85340.0,0.640869140625,1367.2943115234375,187.2171712645479,35050.26921629906,399427.83489291294
sun397,8534,40,2.0,8,0.0009374267635340989,42670.0,0.72265625,770.8935546875,149.2770639287414,22283.641815185547,159241.30794598488
sun397,8534,40,2.0,16,0.0018748535270681978,21335.0,0.845947265625,451.2071228027344,123.56333303460161,15267.89727061987,65905.59275733064
sun397,8534,40,2.0,32,0.0037497070541363956,10667.5,1.03271484375,275.4121398925781,106.66249669232705,11376.888200640678,28445.55458663497
sun397,8534,40,2.0,64,0.007499414108272791,5333.75,1.3134765625,175.14389038085938,95.92651251459692,9201.89580321312,12791.200903118284
sun397,8534,40,2.0,128,0.014998828216545582,2666.875,1.728515625,115.24337768554688,89.26364971414604,7967.999160289764,5951.37489578533
sun397,8534,40,2.0,256,0.029997656433091165,1333.4375,2.353515625,78.45664978027344,85.94159671382103,7385.958045721054,2864.9436967021434
sun397,8534,40,2.0,512,0.05999531286618233,666.71875,3.2421875,54.040679931640625,83.7161912573347,7008.400678634644,1395.378859746278
sun397,8534,40,2.0,1024,0.11999062573236466,333.359375,4.53125,37.76336669921875,82.73215949214307,6844.610214233398,689.4885245175283
sun397,8534,40,2.0,2048,0.23998125146472932,166.6796875,6.328125,26.369247436523438,81.69893363667603,6674.715757369995,340.43881819111
sun397,8534,40,2.0,4096,0.47996250292945863,83.33984375,8.90625,18.556137084960938,81.30574294917508,6610.623836517334,169.4001978340479
sun397,8534,40,2.0,8192,0.9599250058589173,41.669921875,12.34375,12.859077453613281,79.68167601601736,6349.169492721558,83.00823036141261
sun397,8534,40,2.0,8534,1.0,40.0,12.6953125,12.6953125,80.29220621521276,6446.83837890625,80.29220621521276
sun397,8534,40,4.0,1,0.00011717834544176236,341360.0,0.476531982421875,4066.7239379882812,278.41867898056336,77516.960805282,2376025.0064201276
sun397,8534,40,4.0,2,0.00023435669088352472,170680.0,0.5072021484375,2164.2315673828125,209.5426353459191,43908.11602771282,894118.4250210369
